Date,Price,Open,High,Low,Change %,,,,,,,
10/15/2021,574.94,574.94,575.12,572.18,0.34,,,,,,,
10/14/2021,572.99,572.99,573.37,568.18,0.07,,,,,,,
10/13/2021,572.57,572.57,573.65,567.22,0.58,,,,,,,
10/12/2021,569.25,569.25,570.64,567.19,-0.24,,,,,,,
10/11/2021,570.64,570.64,573.99,569.29,-0.23,,,,,,,
10/8/2021,571.93,571.93,571.93,566.84,0.9,,,,,,,
10/7/2021,566.84,566.84,574.33,565.63,-1.09,,,,,,,
10/6/2021,573.06,573.06,577.7,571.37,-0.09,,,,,,,
10/5/2021,573.55,573.55,573.76,568.18,0.5,,,,,,,
10/4/2021,570.68,570.68,581.79,569.64,-1.91,,,,,,,
10/1/2021,581.79,581.79,586.62,581.79,-0.61,,,,,,,
9/30/2021,585.36,585.36,586.32,579.16,0.79,,,,,,,
9/29/2021,580.76,580.76,581.44,569.31,1.87,,,,,,,
9/28/2021,570.1,570.1,578.84,569.78,-0.3,,,,,,,
9/27/2021,571.8,571.8,572.83,564.03,1.38,,,,,,,
9/24/2021,564.03,564.03,564.03,560.18,0.44,,,,,,,
9/23/2021,561.58,561.58,562.2,557.51,0.15,,,,,,,
9/21/2021,560.72,560.72,561.52,553.69,1.27,,,,,,,
9/20/2021,553.69,553.69,556.8,552.79,-0.49,,,,,,,
9/17/2021,556.43,556.43,562.89,556.43,-0.97,,,,,,,
9/16/2021,561.86,561.86,566.9,560.94,-0.89,,,,,,,
9/15/2021,566.9,566.9,567.17,559.92,0.15,,,,,,,
9/14/2021,566.07,566.07,566.34,562.85,0.04,,,,,,,
9/13/2021,565.83,565.83,567.45,563.08,0.49,,,,,,,
9/10/2021,563.08,563.08,566.36,561.83,-0.54,,,,,,,
9/9/2021,566.12,566.12,566.87,563.45,0.12,,,,,,,
9/8/2021,565.43,565.43,565.71,562.09,0.01,,,,,,,
9/7/2021,565.4,565.4,565.85,560.19,0.84,,,,,,,
9/3/2021,560.71,560.71,565.31,560.71,-0.37,,,,,,,
9/2/2021,562.77,562.77,568.31,562.77,-0.41,,,,,,,
9/1/2021,565.11,565.11,567.34,562.55,-0.17,,,,,,,
8/31/2021,566.1,566.1,572.52,563.45,-1.12,,,,,,,
8/30/2021,572.52,572.52,573.45,566.6,0.48,,,,,,,
8/27/2021,569.8,569.8,572.29,565.65,-0.31,,,,,,,
8/26/2021,571.59,571.59,571.59,567.49,0.16,,,,,,,
8/25/2021,570.68,570.68,575.78,569.75,-0.47,,,,,,,
8/24/2021,573.39,573.39,573.39,565.93,1.32,,,,,,,
8/23/2021,565.93,565.93,572.43,565.93,-1.14,,,,,,,
8/20/2021,572.43,572.43,576.49,572.21,-0.54,,,,,,,
8/19/2021,575.55,575.55,579.67,569.1,-0.71,,,,,,,
8/18/2021,579.67,579.67,579.78,569.49,1.36,,,,,,,
8/17/2021,571.9,571.9,583.37,567.43,-1.97,,,,,,,
8/16/2021,583.37,583.37,586.75,581.81,0.13,,,,,,,
8/13/2021,582.59,582.59,585.24,581.04,-0.18,,,,,,,
