male,drink,gpa,malegpa
0,16,2.950000047683716,0
0,15,2.809999942779541,0
1,22,2,2
0,14,2.9000000953674316,0
1,18,3.0999999046325684,3.0999999046325684
0,13,3.0199999809265137,0
1,18,3.190000057220459,3.190000057220459
1,23,2.869999885559082,2.869999885559082
0,18,2.799999952316284,0
0,14,2.799999952316284,0
0,5,3.759999990463257,0
0,20,2.799999952316284,0
0,9,3.359999895095825,0
0,25,2.700000047683716,0
1,16,2.5,2.5
1,7,2.609999895095825,2.609999895095825
0,18,3.200000047683716,0
1,19,2.640000104904175,2.640000104904175
0,18,3.4000000953674316,0
0,7,2.549999952316284,0
0,16,2.4000000953674316,0
1,14,3.0999999046325684,3.0999999046325684
0,15,3.700000047683716,0
1,8,3.5799999237060547,3.5799999237060547
0,5,3.0799999237060547,0
0,16,2.799999952316284,0
1,10,2.890000104904175,2.890000104904175
1,26,2.3299999237060547,2.3299999237060547
1,17,2.5,2.5
0,19,2.799999952316284,0
1,26,3.75,3.75
1,22,2.2100000381469727,2.2100000381469727
