Price,brand,ram_gb,Touchscreen
94990,ASUS,16,No
86000,Lenovo,16,No
162399,Lenovo,16,No
119599,HP,16,No
211753,Lenovo,16,No
110999,Lenovo,16,No
99990,DELL,16,No
81990,ASUS,8,No
66990,MSI,8,No
84990,MSI,16,No
104990,ASUS,16,Yes
134990,ASUS,16,Yes
98990,ASUS,16,No
144690,HP,16,No
99990,ASUS,16,No
119990,MSI,16,No
194990,ASUS,16,No
124990,ASUS,16,No
122410,DELL,16,No
179990,HP,16,Yes
154990,MSI,16,Yes
122990,Lenovo,16,No
224990,ASUS,16,Yes
279990,MSI,16,No
121990,HP,16,No
116990,HP,16,No
151098,Lenovo,16,No
129990,MSI,16,No
149999,HP,16,Yes
139990,MSI,16,No
129990,acer,16,No
171990,HP,16,No
93955,DELL,16,No
234990,ASUS,16,No
128500,HP,16,Yes
102990,Lenovo,16,Yes
119990,ASUS,16,Yes
120980,ASUS,16,No
157249,ASUS,16,No
229900,Lenovo,16,No
131500,ASUS,16,No
154990,ASUS,16,No
165990,ASUS,16,No
119990,Lenovo,16,No
167990,ASUS,16,No
165000,HP,16,Yes
62990,Avita,16,No
85990,Lenovo,16,No
94990,HP,16,No
136990,HP,16,No
234990,Lenovo,16,No
159990,acer,16,No
233990,ASUS,16,No
93990,ASUS,16,No
116941,HP,16,No
63990,MSI,8,No
66990,ASUS,16,No
82500,ASUS,16,No
119990,acer,16,No
159990,MSI,16,No
98912,ASUS,16,No
92990,acer,16,No
119990,acer,16,No
169990,acer,32,No
139990,acer,16,No
192990,MSI,16,No
299990,ASUS,16,No
269990,ASUS,16,Yes
139990,ASUS,16,No
265998,Lenovo,16,No
441990,ASUS,16,No
86990,MSI,8,No
109990,MSI,8,No
109590,MSI,8,No
146490,ASUS,16,No
85990,APPLE,8,No
112990,APPLE,8,No
104990,APPLE,16,No
112990,APPLE,8,No
132990,APPLE,16,No
104990,APPLE,16,No
85990,APPLE,8,No
149990,APPLE,16,No
125990,APPLE,8,No
103990,APPLE,8,No
101990,APPLE,8,No
104990,APPLE,8,No
131990,APPLE,8,No
128990,APPLE,16,No
184990,APPLE,16,No
225990,APPLE,16,No
124990,APPLE,4,No
104990,APPLE,8,No
149990,APPLE,8,No
169990,APPLE,16,No
225990,APPLE,16,No
243990,APPLE,16,No
309990,APPLE,32,No
225990,APPLE,16,No
45990,ASUS,4,No
58100,ASUS,4,Yes
62990,ASUS,8,Yes
32990,HP,8,No
33990,ASUS,4,No
30990,acer,4,No
36000,DELL,4,No
32990,ASUS,4,No
35990,DELL,4,No
27990,ASUS,4,No
25990,ASUS,4,No
25990,ASUS,4,No
30780,ASUS,4,No
37990,HP,8,No
35990,ASUS,8,No
39490,DELL,8,No
36990,DELL,8,No
39990,DELL,8,No
33690,ASUS,4,No
40590,DELL,8,No
37990,ASUS,4,No
34500,ASUS,4,No
36990,acer,8,No
43490,HP,8,No
41490,HP,8,No
34990,acer,4,No
44490,HP,4,No
40590,DELL,4,No
42090,DELL,8,No
35990,DELL,8,No
39490,HP,8,No
37390,DELL,8,No
52632,DELL,4,No
39990,DELL,4,No
43990,DELL,4,No
32917,HP,4,No
34990,Lenovo,4,No
39990,DELL,8,No
41999,HP,8,No
41990,DELL,8,No
44490,DELL,8,No
41990,DELL,8,No
44490,DELL,8,No
49990,MSI,4,No
44390,DELL,4,No
57990,HP,8,No
56990,Lenovo,8,No
48990,Lenovo,8,No
49970,HP,8,No
47990,MSI,8,No
48990,HP,8,No
53990,acer,8,No
52990,Lenovo,8,No
43990,acer,8,No
59490,Lenovo,8,No
64990,MSI,8,No
47490,DELL,8,No
59990,HP,8,No
69990,Lenovo,8,No
58990,HP,8,No
59490,DELL,8,No
67500,HP,16,No
48990,HP,8,No
62450,ASUS,8,Yes
58990,ASUS,8,No
57999,HP,8,No
56990,ASUS,16,No
72990,HP,8,No
65990,HP,16,No
98020,HP,16,Yes
63990,HP,16,No
49890,ASUS,8,No
49990,DELL,8,No
59490,DELL,8,No
73999,HP,8,Yes
60990,DELL,4,No
76190,DELL,4,No
74798,Lenovo,4,Yes
58990,ASUS,4,No
68100,HP,4,No
77990,Lenovo,4,Yes
55090,HP,4,No
91990,ASUS,4,Yes
84208,HP,4,No
44990,acer,4,No
53490,HP,4,No
76498,Lenovo,4,No
98920,DELL,4,No
54990,MSI,4,No
49990,acer,4,No
52380,HP,4,No
49990,acer,4,No
52500,HP,4,No
49990,ASUS,4,No
75999,acer,4,No
80990,ASUS,4,No
59900,Lenovo,4,No
54590,HP,4,No
75500,DELL,4,Yes
51890,HP,8,No
78000,ASUS,16,No
59999,HP,16,No
64990,HP,8,No
57900,DELL,4,No
81978,Lenovo,4,Yes
59990,HP,4,No
49490,DELL,8,No
54990,ASUS,8,No
68500,Lenovo,8,No
54990,ASUS,8,No
54990,ASUS,8,No
63990,Lenovo,8,No
80000,HP,4,No
51990,DELL,4,No
62990,ASUS,4,No
52990,HP,4,No
75100,ASUS,4,No
76990,ASUS,16,No
79990,ASUS,16,No
71990,ASUS,8,No
71990,ASUS,8,No
99990,Lenovo,16,No
79990,ASUS,16,No
93990,DELL,16,No
82990,ASUS,16,No
106990,ASUS,4,No
92990,ASUS,4,No
81490,Lenovo,4,No
56990,ASUS,4,No
64990,MSI,4,No
60990,Lenovo,4,No
84988,Lenovo,4,No
90990,HP,4,No
63990,ASUS,4,No
63990,Lenovo,4,No
57999,HP,4,No
72400,ASUS,4,No
78990,Lenovo,4,Yes
59990,acer,4,No
111990,ASUS,4,No
109000,HP,4,Yes
89990,DELL,4,No
78988,Lenovo,4,Yes
73138,Lenovo,4,No
106990,Lenovo,4,No
79990,ASUS,4,No
89570,DELL,4,Yes
68500,HP,4,No
73400,Lenovo,16,No
79990,HP,16,No
84990,HP,16,No
99990,MSI,16,No
72990,ASUS,8,No
92990,HP,16,Yes
84190,HP,16,No
112990,ASUS,16,Yes
114990,ASUS,4,No
99990,acer,4,No
95990,ASUS,4,No
159990,HP,4,No
76990,ASUS,4,No
130990,Lenovo,4,No
99990,ASUS,4,No
112990,ASUS,4,No
77988,Lenovo,4,No
76000,ASUS,4,No
99990,ASUS,4,Yes
111000,ASUS,4,No
84970,ASUS,16,No
75990,HP,16,No
89990,acer,16,No
81990,acer,16,No
80490,Lenovo,4,No
135990,ASUS,16,No
154990,ASUS,16,No
199990,ASUS,16,No
114990,ASUS,16,No
129990,ASUS,16,No
114990,ASUS,16,Yes
146990,MSI,4,No
104990,ASUS,4,No
114990,ASUS,4,Yes
124990,ASUS,4,Yes
134990,ASUS,4,Yes
141990,HP,4,No
129990,ASUS,4,No
142990,ASUS,4,Yes
121990,ASUS,4,No
124990,ASUS,4,Yes
141990,ASUS,4,No
162990,ASUS,4,No
130500,ASUS,4,No
116990,ASUS,4,No
138990,ASUS,4,No
234990,ASUS,4,Yes
135990,ASUS,4,No
144990,ASUS,4,No
149990,ASUS,4,No
142990,ASUS,4,No
57490,Lenovo,8,No
