category,name,ingredient_direction,quantity,unit,ingredient,note
Contemporary Classics,Margarita,15 ml Freshly Squeezed Lime Juice,15,ml,Freshly Squeezed Lime Juice,
Contemporary Classics,Mimosa,75 ml Fresh orange juice,75,ml,Fresh orange juice,
Contemporary Classics,Mimosa,75 ml Prosecco,75,ml,Prosecco,
Contemporary Classics,Mint Julep,60 ml Bourbon Whiskey,60,ml,Bourbon Whiskey,
Contemporary Classics,Mint Julep,4 fresh Mint sprigs,4,piece,fresh Mint sprigs,
Contemporary Classics,Mint Julep,1 tsp Powdered Sugar,1,teaspoon,Powdered Sugar,
Contemporary Classics,Mint Julep,2 tsp Water,2,teaspoon,Water,
Contemporary Classics,Mojito,45 ml White Cuban Ron,45,ml,White Cuban Ron,
Contemporary Classics,Mojito,20 ml Fresh Lime Juice,20,ml,Fresh Lime Juice,
Contemporary Classics,Mojito,6 pcs Mint Sprigs,6,piece,Mint Sprigs,
Contemporary Classics,Mojito,2 tsp White Cane Sugar,2,teaspoon,White Cane Sugar,
Contemporary Classics,Mojito,Soda Water,1,top up,Soda Water,
Contemporary Classics,Moscow Mule,45 ml Smirnoff Vodka,45,ml,Smirnoff Vodka,
Contemporary Classics,Moscow Mule,120 ml Ginger Beer,120,ml,Ginger Beer,
Contemporary Classics,Moscow Mule,10 ml Fresh lime juice,10,ml,Fresh lime juice,
Contemporary Classics,Pina Colada,50 ml White Rum,50,ml,White Rum,
Contemporary Classics,Pina Colada,30 ml Coconut Cream,30,ml,Coconut Cream,
Contemporary Classics,Pina Colada,50 ml Fresh Pineapple Juice,50,ml,Fresh Pineapple Juice,
Contemporary Classics,Pisco Sour,60 ml Pisco,60,ml,Pisco,
Contemporary Classics,Pisco Sour,30 ml Fresh Lemon Juice,30,ml,Fresh Lemon Juice,
Contemporary Classics,Pisco Sour,20 ml Simple Syrup,20,ml,Simple Syrup,
Contemporary Classics,Pisco Sour,1 Raw Egg White,1,piece,Raw Egg White,
Contemporary Classics,Sea Breeze,40 ml Vodka,40,ml,Vodka,
